rho,f_noise,routing_gain,oracle_headroom,frac_captured,analytic_frac
0.31666666666666665,0.31666666666666665,0.3496958166247774,0.9520662108399959,0.36729286033227976,0.20335338698925082
0.31666666666666665,0.35624999999999996,0.3367873434190874,0.9524180022975858,0.3535633481635605,0.19157377005999543
0.31666666666666665,0.3958333333333333,0.3230843386421581,0.9512116712948518,0.3396622282749721,0.17979415313074007
0.31666666666666665,0.4354166666666667,0.31588288498429834,0.9737405687733006,0.32429308886826796,0.16801453620148465
0.31666666666666665,0.475,0.29298897334246354,0.9611379389682032,0.30463484867069773,0.1562349192722293
0.31666666666666665,0.5145833333333333,0.27933849144489536,0.9552494154483407,0.2924945952141549,0.1444553023429739
0.31666666666666665,0.5541666666666667,0.24506164206493963,0.9526729662790344,0.25706881853212643,0.13267568541371846
0.31666666666666665,0.59375,0.2587504583276075,0.9718486017672635,0.26621889212720484,0.1208960684844631
0.31666666666666665,0.6333333333333333,0.21938765448060002,0.9628178171362786,0.22782297004155785,0.10911645155520776
0.31666666666666665,0.6729166666666666,0.21036185442538094,0.9599956580961418,0.21901866758391367,0.0973368346259524
0.31666666666666665,0.7124999999999999,0.1863453397572621,0.9591257306206177,0.19438973373833876,0.08555721769669702
0.31666666666666665,0.7520833333333333,0.16045714938773667,0.9599842512872092,0.1670802207364229,0.07377760076744161
0.31666666666666665,0.7916666666666666,0.14367673588408406,0.9547131215884574,0.15046538482356742,0.06199798383818621
0.31666666666666665,0.8312499999999999,0.11312298202036204,0.9475084963508079,0.11908300893607426,0.05021836690893086
0.31666666666666665,0.8708333333333333,0.09725145444419574,0.9665539882953831,0.10052631687677267,0.03843874997967545
0.31666666666666665,0.9104166666666667,0.0585929236527686,0.9568891246361394,0.06117785887153857,0.026659133050420076
0.31666666666666665,0.95,0.013454194183114906,0.9542917811362867,0.013948086773043223,0.014879516121164707
0.35624999999999996,0.0,0.45402558478957494,0.9401657525276524,0.48295221004739314,0.28884251764586183
0.35624999999999996,0.03958333333333333,0.41579055288379013,0.9166119605438565,0.45361087673511885,0.27740916798904636
0.35624999999999996,0.07916666666666666,0.41891789760947207,0.9351691256924268,0.4478825310741595,0.26597581833223105
0.35624999999999996,0.11875,0.3912567770264858,0.92363435448814,0.42329785829567745,0.2545424686754157
0.35624999999999996,0.15833333333333333,0.3858609920727054,0.9351900762094999,0.41250737481709515,0.24310911901860033
0.35624999999999996,0.19791666666666666,0.37328646049298514,0.9226876095234388,0.4045673012025243,0.23167576936178497
0.35624999999999996,0.2375,0.3774017524505424,0.9417889247018639,0.4007735584469356,0.22024241970496958
